name,description,price,sale_price,category,image_url,stock
"Nike Air Max 90","Iconic style with maximum comfort. The Nike Air Max 90 stays true to its OG running roots with the iconic Waffle outsole, stitched overlays and classic TPU details.",120,99.99,Casual,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/sftmdxasco00aohb7ygx/air-max-90-shoes-QpsTWm.jpg,30
"Nike ZoomX Vaporfly Next% 2","Continue the next evolution of speed with a racing shoe made to help you chase new goals and records.",250,219.99,Running,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/dfff68fd-29ab-4f40-acfe-1dfadba328e6/zoomx-vaporfly-next-2-road-racing-shoes-zgpzVs.jpg,15
"Nike Metcon 7","The Nike Metcon 7 is the most stable and durable training shoe to date, ready to take on your most demanding workouts.",130,119.99,Training,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/17304436-bf6a-4942-afc4-a4af048c6bf5/metcon-7-training-shoes-sJmZ1h.jpg,25
"Nike Lebron XIX","The LeBron 19 harnesses the power of LeBron's force on the court. The snug fit combines with robust support around the ankle.",200,179.99,Basketball,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/4a87a19b-600d-490f-9a29-1ac3b3434716/lebron-xix-basketball-shoes-dMpkT8.jpg,20
"Nike Air Zoom Pegasus 38","A workhorse with wings. The Nike Air Zoom Pegasus 38 continues to put a spring in your step with the same responsive foam as its predecessor.",120,99.99,Running,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/5a8e2cc6-dada-482a-a201-b533f46476d0/air-zoom-pegasus-38-running-shoes-lq7PZZ.jpg,35
"Nike Dunk High","Created for the hardwood but taken to the streets, the Nike Dunk High returns with durable leather overlays and original team colors.",110,89.99,Casual,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/83f02d37-a9a6-448c-9f6a-e7445d25238d/dunk-high-shoes-MrqfGr.jpg,25
"Nike Free Run 5.0","The Nike Free Run 5.0 takes a new approach to barefoot-like training. Lightweight and flexible, it features a redesigned band system that adapts to your foot when you run.",100,89.99,Running,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e73be8e2-0557-4c66-bef3-07c19f1f908e/free-run-5-road-running-shoes-m8L9mr.jpg,30
"Nike Kyrie 8","Kyrie Irving is a creative force on and off the court. He needs his shoes to keep up with his playmaking, but also sync with his boundary-pushing style and ethos.",140,119.99,Basketball,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/1fcd6bb8-c746-42e8-96dd-86d55f86e8a8/kyrie-8-ep-basketball-shoes-LbXLqL.jpg,22
"Nike SB Zoom Blazer Mid","The Nike SB Zoom Blazer Mid delivers a locked-in fit with a responsive feel under your feet. The design nods to its performance basketball roots with a padded, mid-cut collar.",85,75.99,Skateboarding,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/e0a360fd-9112-40a8-9b01-7ce8d35c05c4/sb-zoom-blazer-mid-skate-shoes-zSN6wF.jpg,28
"Nike React Infinity Run Flyknit 2","The Nike React Infinity Run Flyknit 2 continues to help reduce injury and keep you on the run. More foam and improved upper details provide a secure and cushioned feel.",160,139.99,Running,https://static.nike.com/a/images/t_PDP_1280_v1/f_auto,q_auto:eco/84fe9815-3c83-4c24-bfdc-c25639a83eef/react-infinity-run-flyknit-2-road-running-shoes-ztk9Pf.jpg,18